SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,maths,read,scie
0000037,879.0,0.226,1.0,1.0,146.5,1.44,542.4882118181819,567.8273636363637,584.4274518181817
0000038,871.0,1.554,,,124.429,1.44,422.0293634782609,478.28224,427.1572904347827
0000039,1513.0,1.328,1.0,0.995,112.074,1.44,537.849989090909,527.7312072727271,538.0658527272727
0000040,1644.0,,1.0,1.0,193.412,-0.62,500.4645309090909,512.4688781818181,540.1300390909092
0000041,1236.0,0.822,1.0,1.0,112.364,1.44,499.9071766666666,525.1806258333334,509.43988666666667
0000042,1470.0,1.471,0.98,0.97,133.636,1.44,468.5646850000001,502.32581833333336,504.9056641666668
0000043,708.0,1.048,1.0,1.0,128.727,0.03,417.5033223076924,454.72270230769226,446.40848769230763
0000044,1226.0,2.35,1.0,1.0,122.6,1.44,478.79732,514.0952553333333,474.0737253333333
0000045,1451.0,1.841,,0.904,120.917,1.44,439.62552375000007,462.24531125000004,436.9836325
0000046,,,,,,-0.81,431.45829000000003,444.1740584615385,472.1846030769231
0000047,521.0,0.718,1.0,1.0,,1.44,468.31846275862074,484.2460289655172,520.5874062068965
0000048,924.0,,,,115.5,1.44,590.4800351724139,593.8171137931034,603.3794627586205
0000049,596.0,2.049,1.0,1.0,119.2,1.44,419.375292,461.30026879999997,452.8347608
0000050,559.0,0.42,1.0,1.0,111.8,1.44,494.7821347826087,492.90165391304345,509.1067539130434
0000051,1394.0,1.656,1.0,1.0,146.737,1.44,494.0629328000001,505.66744719999997,530.7907480000001
0000052,1197.0,1.2,1.0,1.0,159.6,-0.43,453.4512938461538,446.76421692307696,467.30696846153853
