SCHOOLID,ST04Q01,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,ST93Q01,ST93Q03,ST93Q04,ST93Q06,ST93Q07,maths,read,scie
1,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,473.36814000000004,506.2972,537.3368200000001
2,Male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Not at all like me,Not at all like me,Mostly like me,Mostly like me,Mostly like me,430.05922,429.18274,439.61208
2,Male,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,,,,,,510.5234200000001,524.6142199999999,547.8739400000001
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not at all like me,Very much like me,Very much like me,Somewhat like me,430.52655999999996,455.80734,515.1436000000001
2,Male,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Mostly like me,Mostly like me,Mostly like me,Mostly like me,Somewhat like me,290.70727999999997,286.19594,324.91612
2,Male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,,,,,,447.4295,490.93252,469.17196
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not at all like me,Very much like me,Mostly like me,Mostly like me,472.3555,441.13174,506.65796
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Not much like me,Not much like me,Somewhat like me,396.40912000000003,429.26291999999995,428.14250000000004
2,Male,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,,,,,,365.71896,338.48276,383.01007999999996
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Mostly like me,Mostly like me,Mostly like me,Mostly like me,327.00578,325.81202,323.4241
2,Male,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,,,,,,427.95606,466.39300000000003,467.77322000000004
2,Male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,372.02835999999996,423.40872,399.8881
2,Male,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Mostly like me,Not much like me,Not at all like me,Not at all like me,Somewhat like me,398.90167999999994,407.28964,385.24808
2,Male,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,,,,,,537.4747,545.70538,570.5333800000001
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Mostly like me,Mostly like me,Somewhat like me,393.6828,414.90814,419.9366
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,441.50958,441.53270000000003,451.45468
