SCHOOLID,ST04Q01,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,ST93Q01,ST93Q03,ST93Q04,ST93Q06,ST93Q07,maths,read,scie
163,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Somewhat like me,Mostly like me,Mostly like me,550.5608199999999,553.8764,568.1089
163,Female,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,,Strongly disagree,Not at all like me,Not at all like me,Very much like me,Mostly like me,Very much like me,447.89686,431.94978000000003,432.80492000000004
163,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Mostly like me,Somewhat like me,Mostly like me,413.77941999999996,447.35938000000004,443.2488
163,Male,Agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,,,,,,463.47562,421.80483999999996,443.43526
163,Male,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Agree,Very much like me,Mostly like me,Mostly like me,Somewhat like me,Very much like me,450.31156,412.66268,425.62478
163,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Somewhat like me,Mostly like me,Mostly like me,Somewhat like me,354.34644000000003,322.20328,370.60798000000005
163,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not at all like me,Very much like me,Very much like me,Very much like me,388.69762000000003,342.89345999999995,388.13876
163,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,425.07400000000007,484.45367999999996,478.68332
163,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much like me,Somewhat like me,Mostly like me,Very much like me,Somewhat like me,309.55754,326.05260000000004,308.5975399999999
163,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,,,,,,410.04050000000007,376.25437999999997,348.78776
163,Female,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Somewhat like me,Somewhat like me,Mostly like me,Mostly like me,Mostly like me,510.60132000000004,566.10874,521.95076
164,Male,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,,,,,,480.14488,466.55339999999995,527.9187000000001
164,Male,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,,,,,,682.74652,655.8926399999999,688.49308
164,Female,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Not much like me,Mostly like me,Somewhat like me,Very much like me,Mostly like me,594.80448,597.64286,590.39536
164,Female,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,,,,,,605.08646,583.6630200000001,609.04516
164,Male,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Not much like me,Not much like me,Mostly like me,Somewhat like me,Very much like me,463.63142,455.08556,520.4588000000001
164,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Mostly like me,Somewhat like me,Mostly like me,Somewhat like me,470.95344000000006,472.77732,485.58374000000003
164,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.41004,242.5701,330.79074
164,Male,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Not much like me,Somewhat like me,Mostly like me,Very much like me,Mostly like me,689.44542,635.4430199999999,696.97876
164,Male,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Not much like me,,Mostly like me,Somewhat like me,Somewhat like me,432.08441999999997,466.15242,497.51957999999996
164,Female,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,,,,,,537.4746799999999,558.48338,589.08992
164,Female,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,,,,,,511.53603999999996,575.6404799999999,594.1253399999999
164,Male,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Not at all like me,Not at all like me,Very much like me,Mostly like me,Mostly like me,502.18881999999996,492.13541999999995,534.81908
164,Female,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,,,,,367.12102000000004,403.83122000000003,398.0231
164,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Mostly like me,Mostly like me,Not at all like me,Somewhat like me,402.79640000000006,435.68306,422.73406000000006
164,Male,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Somewhat like me,Not much like me,Mostly like me,Very much like me,Not much like me,416.3498799999999,365.02712,423.0138
164,Female,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,,,,,578.75836,615.51486,572.2118800000001
164,Female,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Not much like me,Not much like me,Mostly like me,Very much like me,Somewhat like me,525.0117,554.82956,578.73928
164,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Somewhat like me,Very much like me,Somewhat like me,Mostly like me,546.7440200000001,504.96656,585.91942
164,Male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Not much like me,Not much like me,Very much like me,Very much like me,Very much like me,366.41999999999996,310.33448,305.6136
164,Male,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Mostly like me,Mostly like me,Not much like me,Not much like me,Not much like me,486.53218,389.0855,473.92764
164,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Mostly like me,Not much like me,Not at all like me,Not at all like me,331.67938,411.6154399999999,407.348
164,Female,Disagree,Agree,Agree,Agree,Disagree,,Agree,,Disagree,Agree,Disagree,,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,,,,,,483.6501,496.44777999999997,523.16298
164,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Mostly like me,Mostly like me,Mostly like me,Somewhat like me,543.86196,545.5361399999999,595.24432
164,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Mostly like me,Mostly like me,Mostly like me,475.47126,473.41276,460.77956000000006
164,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Mostly like me,Mostly like me,Somewhat like me,476.3281,508.91844000000003,515.98286
165,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Mostly like me,Not much like me,Not much like me,491.43950000000007,448.83038,507.21744
165,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Mostly like me,Not much like me,Not much like me,Not much like me,473.05654000000004,502.80224,509.92166
165,Male,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Mostly like me,Very much like me,Mostly like me,Somewhat like me,Not much like me,313.06278000000003,290.84722,365.4793
165,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Not much like me,Mostly like me,Mostly like me,342.81818000000004,376.73551999999995,405.66952000000003
165,Female,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,382.15454,373.88571999999994,411.3576999999999
165,Male,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,,,,,,541.1357,500.31528,578.6460199999999
165,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,572.7605599999999,567.03712,622.47294
165,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not much like me,Somewhat like me,Mostly like me,Not much like me,383.86818000000005,407.61044000000004,488.56769999999995
165,Male,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Not much like me,Somewhat like me,Not much like me,Not much like me,Not much like me,312.82910000000004,372.48522,431.59265999999997
165,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,,,,,,369.76944,329.82174,401.65981999999997
165,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,,,,,,424.91819999999996,488.02807999999993,484.18500000000006
165,Female,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,,,,,,363.07056,419.9557,457.79558
165,Female,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Somewhat like me,Somewhat like me,Mostly like me,Mostly like me,Somewhat like me,443.8464,509.39502000000005,512.5326200000001
165,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Very much like me,Somewhat like me,Very much like me,543.39462,530.94958,591.98058
165,Male,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Mostly like me,578.4468,571.2874199999999,618.1835199999999
165,Female,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat like me,Not much like me,Mostly like me,Not at all like me,Somewhat like me,517.0665200000001,579.37374,594.4983
165,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Mostly like me,Very much like me,Mostly like me,529.0621799999999,571.9072399999999,620.79448
165,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,490.34898000000004,519.08078,560.55578
165,Male,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Not much like me,Not much like me,Not much like me,Not much like me,Somewhat like me,557.02604,576.0189200000001,621.72696
165,Male,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Not much like me,Not much like me,Mostly like me,Not much like me,Somewhat like me,510.9907999999999,488.6870599999999,519.8993
165,Female,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,,,,,,479.98912,513.28714,534.0731
165,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,369.22418000000005,392.55201999999997,387.76578
166,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,,,,,,616.2252599999999,639.1319799999999,668.2581
166,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not at all like me,Very much like me,Very much like me,Very much like me,534.59262,559.8196,614.6400600000001
166,Male,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very much like me,Very much like me,Very much like me,Very much like me,Very much like me,385.89344,320.67958,383.2898
166,Male,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Not much like me,Not much like me,Mostly like me,Somewhat like me,Somewhat like me,412.61100000000005,405.04418,471.4099
166,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not at all like me,Very much like me,Very much like me,Very much like me,428.735,437.36258,487.16895999999997
166,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,460.67143999999996,522.97772,506.84445999999997
166,Male,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Somewhat like me,Very much like me,Not at all like me,Not at all like me,Not at all like me,349.82864,402.87893999999994,422.08132000000006
166,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Not at all like me,416.3499,484.21540000000005,502.27526
166,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not at all like me,Mostly like me,Mostly like me,Somewhat like me,458.80198,542.5972,507.49722
166,Male,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,,,,,,600.25706,607.85612,691.29056
166,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,,,,,,415.57093999999995,451.56924,432.24542
166,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Mostly like me,Somewhat like me,Not at all like me,Somewhat like me,548.1461400000001,569.04768,606.34092
166,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not much like me,Very much like me,Mostly like me,Somewhat like me,614.2779400000001,649.4318999999999,649.1420999999999
166,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Very much like me,,Very much like me,405.91214,484.45367999999996,475.32636
166,Female,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,,Disagree,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,328.09626000000003,371.58221999999995,386.9265200000001
166,Male,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Somewhat like me,Not much like me,Not much like me,Not much like me,Not much like me,393.7607,371.04173999999995,456.49014000000005
166,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Mostly like me,Mostly like me,Not much like me,556.1692,556.7722200000001,645.41218
166,Female,Disagree,,Agree,,Disagree,,,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,,Disagree,Agree,Disagree,,,,,,312.05018,326.46542,327.71354
166,Female,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly disagree,,,,,,617.9389199999999,647.6049800000001,657.5345
166,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly like me,Mostly like me,Not at all like me,Not at all like me,358.70852,435.04758000000004,395.8784
166,Female,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,,,,,,541.1357,640.61506,653.9910600000001
166,Male,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Not at all like me,Not at all like me,Mostly like me,Mostly like me,Mostly like me,669.42672,625.01774,726.81834
166,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,,,,,,570.42376,547.9508400000001,604.3827
166,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not at all like me,Mostly like me,Mostly like me,Not much like me,505.69402,523.81226,589.4629000000001
166,Male,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,,,,,,542.6935599999999,541.77584,626.29618
167,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all like me,Not much like me,Mostly like me,Somewhat like me,Somewhat like me,482.01432000000005,478.42215999999996,535.00558
167,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,,,,,,509.12136,488.0455,498.26558000000006
167,Female,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,,,,,,539.34412,553.79696,550.95112
167,Female,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Mostly like me,Mostly like me,Somewhat like me,Mostly like me,Somewhat like me,466.90296,474.92196,487.16895999999997
167,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,,,,,,718.11028,700.24018,735.58374
167,Female,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Not at all like me,Mostly like me,Very much like me,Very much like me,Mostly like me,667.94672,595.97482,660.51844
167,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Somewhat like me,Mostly like me,Not much like me,Somewhat like me,577.74576,578.4247200000001,593.00634
167,Male,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,,,,,,564.19224,581.7127199999999,604.84894
