SCHOOLID,W_FSTUWT,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,maths,read,scie,SCHOOLID,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,schoolmath,schoolread,schoolscie
1,8.7358,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,513.3276,497.4009199999999,548.61992,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2,2
1,11.2771,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,363.38216,353.39896,444.55426,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2,2
2,8.8431,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,430.05922,429.18274,439.61208,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,510.5234200000001,524.6142199999999,547.8739400000001,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,290.70727999999997,286.19594,324.91612,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,447.4295,490.93252,469.17196,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,365.71896,338.48276,383.01007999999996,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,9.3066,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,427.95606,466.39300000000003,467.77322000000004,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,372.02835999999996,423.40872,399.8881,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,398.90167999999994,407.28964,385.24808,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,9.3066,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,537.4747,545.70538,570.5333800000001,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,462.69668,457.89238000000006,454.99814,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,382.15454,400.23254000000003,436.53489999999994,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,509.97817999999995,531.83172,517.19506,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,368.52314000000007,388.7647,381.05183999999997,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,391.57968,419.6396,403.89777999999995,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
2,8.8431,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,380.59666000000004,399.51077999999995,371.6337,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,0,0,0
3,152.051,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,390.48915999999997,428.3754,452.2006600000001,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,403.34164,454.66706000000005,436.72136,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,385.73765999999995,447.9154199999999,405.85604,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,382.31034,446.40622,431.5926799999999,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,417.98567999999995,509.47447999999997,473.74114,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,374.28725999999995,491.6024799999999,432.05894,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,424.76242,507.4887,452.20065999999997,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,117.8203,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,366.4979,400.31274,430.10069999999996,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,464.95558,489.93444,510.48117999999994,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,450.07788,526.07554,494.62888000000004,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
3,152.051,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,344.60978,417.1755999999999,352.42446,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2,1
4,138.5522,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,589.8971799999999,582.94816,591.51434,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,616.30316,611.1461400000001,615.38604,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,594.6487,573.893,613.4278400000001,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,471.49868,456.73226000000005,482.8795,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,691.78222,701.06204,738.38122,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,479.98909999999995,495.7329,528.6646800000001,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,696.61162,678.9008200000001,699.12346,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,601.50334,573.5753,620.0485000000001,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,454.28414000000004,499.94272,505.16598000000005,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,480.45646000000005,489.69612000000006,495.93436,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,518.3907200000001,506.21777999999995,566.8966800000001,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly disagree,507.3298,549.26938,538.73552,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,606.48856,608.12776,649.1421,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,609.2927400000001,627.19122,647.65014,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,444.23585999999995,493.9853999999999,474.39387999999997,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,649.79748,660.3933800000001,686.25514,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
4,138.5522,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,449.37685999999997,504.47029999999995,513.74488,0000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,3,3
5,10.3699,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,635.9324,632.47582,630.5856200000001,0000005,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,0,0,0
5,8.7685,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,363.92740000000003,321.46124,366.78477999999996,0000005,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,0,0,0
5,8.7685,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,324.90263999999996,388.89818,352.14472,0000005,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,0,0,0
