SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,SC25Q05,SC34Q15,SC27Q02,SC16Q05,SC39Q07,maths,read,scie,ST88Q01math,ST88Q01read,ST88Q01scie,ST88Q02math,ST88Q02read,ST88Q02scie,ST88Q03math,ST88Q03read,ST88Q03scie,ST88Q04math,ST88Q04read,ST88Q04scie,ST89Q02math,ST89Q02read,ST89Q02scie,ST89Q03math,ST89Q03read,ST89Q03scie,ST89Q04math,ST89Q04read,ST89Q04scie,ST89Q05math,ST89Q05read,ST89Q05scie,option
0000007,989.0,1.468,1.0,1.0,,1.44,1.0,6.0,4.0,1.0,2.0,473.8531432581459,469.7047627836672,488.2806915685534,483.759488978015,470.38792376593574,493.6876563726636,506.75273790568536,494.3951877671573,516.4556828854608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000008,1704.0,0.351,1.0,0.995,154.909,1.44,0.0,2.0,3.0,2.0,1.0,500.21050455800207,508.4403829339438,523.6675053511906,237.03849999999997,240.64546,270.73852,237.03849999999997,240.64546,270.73852,438.5496099999999,484.25511000000006,454.39202000000006,496.2365784468716,505.5696122733927,507.9908919990241,498.472253284647,522.5729112996337,523.6561462287884,518.3351947806136,540.1845503351122,549.43056475942,494.93830754773535,504.5996236340585,517.9018586227813,496.6795364270077,516.4211753632657,522.7706056427008,Strongly Agree
0000008,1704.0,0.351,1.0,0.995,154.909,1.44,0.0,2.0,3.0,2.0,1.0,500.21050455800207,508.4403829339438,523.6675053511906,494.0198315542915,501.64771707549414,526.6050206278805,0,0,0,479.4648604219945,473.4767858849091,500.8499210755872,491.2998444097308,497.5900277471429,514.647032485799,463.88000944957975,462.9606024081369,484.559976847068,443.7345944618981,438.48133241923887,462.1352262332172,467.3361977155799,474.36099162876405,493.9210891043379,498.08154014613683,493.99151768208776,520.0609755619754,Agree
0000008,1704.0,0.351,1.0,0.995,154.909,1.44,0.0,2.0,3.0,2.0,1.0,500.21050455800207,508.4403829339438,523.6675053511906,503.5923427196816,510.41803117551274,520.106033500389,512.5660963107546,517.5160983704451,535.6597859132124,537.6781393283882,550.9496753653372,567.8809993463028,432.4004130240993,446.6098337491352,474.87840312374965,567.69748,589.73216,631.5181,0,0,0,0,0,0,237.03849999999997,240.64546,270.73852,Disagree
0000008,1704.0,0.351,1.0,0.995,154.909,1.44,0.0,2.0,3.0,2.0,1.0,500.21050455800207,508.4403829339438,523.6675053511906,489.6871487642942,502.5934307737909,518.8617508519008,474.43654906746076,488.671100796456,500.24685566257375,237.03849999999997,240.64546,270.73852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000009,916.0,1.772,1.0,1.0,114.5,1.44,1.0,3.0,3.0,1.0,1.0,415.839279182425,446.15073946513314,457.76550814598295,343.0753264221965,363.2725576994673,377.86198173613076,361.2953818626614,404.64469007135705,412.75666108036893,417.59619999999995,428.1936733333332,452.5114933333333,430.5209482103264,443.085851186201,453.8233461063486,423.6570351420605,455.8059066857739,462.50818157491403,423.6570351420605,455.8059066857739,462.50818157491403,430.8494960786864,465.2851817755486,474.9573343165249,440.8112322067265,473.9288249326629,479.8592115026839,Strongly Agree
0000009,916.0,1.772,1.0,1.0,114.5,1.44,1.0,3.0,3.0,1.0,1.0,415.839279182425,446.15073946513314,457.76550814598295,398.2903132835836,433.7245828674571,449.8377887374967,305.74075999999997,278.49726,306.35958,433.65122506118917,466.07906418447874,475.37930402848843,430.8559308875274,465.12641298235565,478.96628794831395,431.8257175530712,464.5495916607004,483.390680844648,426.60039379820466,447.98588854230655,468.22777858513626,413.0478485440332,437.6712693650243,451.7369931288587,400.58067215019076,426.85369474348335,445.60226252012717,Agree
0000009,916.0,1.772,1.0,1.0,114.5,1.44,1.0,3.0,3.0,1.0,1.0,415.839279182425,446.15073946513314,457.76550814598295,453.54576818490796,489.8171683268156,492.06613907990806,423.16666223391337,451.27723588433673,464.8009975373951,0,0,0,430.29290000000003,498.67184,502.83478,368.9126,360.13528,395.22565999999995,0,0,0,0,0,0,0,0,0,Disagree
0000009,916.0,1.772,1.0,1.0,114.5,1.44,1.0,3.0,3.0,1.0,1.0,415.839279182425,446.15073946513314,457.76550814598295,453.86222699674016,480.0206077076825,495.08447286629837,452.6368908139131,488.1377728723554,496.9843624869906,361.2953818626614,404.64469007135705,412.75666108036893,361.2953818626614,404.64469007135705,412.75666108036893,0,0,0,395.55225999999993,444.58008,472.52892,0,0,0,0,0,0,Strongly Disagree
0000010,1128.0,0.6,,,132.706,1.44,6.0,2.0,3.0,2.0,1.0,561.9689636945515,600.6530431211633,591.4248558870361,0,0,0,362.21374000000003,459.27406,423.48001999999997,542.6411857236214,599.9120023749529,570.410068566206,538.9100786775532,580.3903556522425,561.1830747591292,535.1034671893352,585.1233129570812,565.9672779680453,541.8557812474438,595.3176262106042,576.9906501468989,547.5195028514723,594.161147871687,576.199967353887,555.7123382058112,605.8112468070219,588.8315798957176,Strongly Agree
0000010,1128.0,0.6,,,132.706,1.44,6.0,2.0,3.0,2.0,1.0,561.9689636945515,600.6530431211633,591.4248558870361,460.2041018426793,527.0322362643607,520.7333739705804,0,0,0,563.0010267794098,602.669835743887,584.4059811761098,551.4678044866888,596.6908342678556,576.1099031990673,587.1037032694386,620.0399178226204,602.7770792203153,564.0353376695136,588.8455142566428,569.6307363552789,587.1037032694386,620.0399178226204,602.7770792203153,532.8338221708444,570.543101601317,548.5862351190683,Agree
0000010,1128.0,0.6,,,132.706,1.44,6.0,2.0,3.0,2.0,1.0,561.9689636945515,600.6530431211633,591.4248558870361,569.1761329213431,609.5228881907411,596.7726331078164,568.564526509838,608.8751742134831,600.6817958638579,564.34802,580.99094,629.74638,571.12478,638.94701,630.9585999999999,0,0,0,553.2092,594.1428599999999,572.77134,0,0,0,0,0,0,Disagree
0000010,1128.0,0.6,,,132.706,1.44,6.0,2.0,3.0,2.0,1.0,561.9689636945515,600.6530431211633,591.4248558870361,543.3034108783659,590.684210915851,561.7603036786707,548.3238096827283,593.8571885611708,567.750152182598,362.21374000000003,459.27406,423.48001999999997,0,0,0,0,0,0,0,0,0,362.21374000000003,459.27406,423.48001999999997,0,0,0,Strongly Disagree
0000011,788.0,2.327,1.0,1.0,131.333,1.44,5.0,6.0,3.0,2.0,2.0,472.8868013614882,487.7184841198934,507.7381485812738,421.25717999999995,472.30072,493.04362000000003,0,0,0,500.8957800000001,499.11236800000006,544.461024,513.5924560000001,507.01954399999994,553.8045520000001,472.6889524752911,488.6575211859639,512.1061283789898,472.4629249695739,485.8312066515658,509.57939966531575,474.11398549615404,484.1397262551316,514.9744976644273,474.11398549615404,484.1397262551316,514.9744976644273,Strongly Agree
0000011,788.0,2.327,1.0,1.0,131.333,1.44,5.0,6.0,3.0,2.0,2.0,472.8868013614882,487.7184841198934,507.7381485812738,408.60502891452154,428.0997677529217,453.95331916120085,414.2501750008617,444.49234318626105,471.05633902471334,439.4694082205636,452.75214820704923,467.49188062796946,435.65614935978203,451.8418503835278,465.1356008490702,449.34471277750436,439.6336823000876,470.394963740482,425.1316070072818,425.00233232142745,460.04219231583636,434.04732736038306,440.714664516231,462.5741866250197,407.0478357731129,416.8489347993944,437.4726908400661,Agree
0000011,788.0,2.327,1.0,1.0,131.333,1.44,5.0,6.0,3.0,2.0,2.0,472.8868013614882,487.7184841198934,507.7381485812738,422.20999243918806,435.948418484027,453.5603021333268,413.3953345818624,420.45764783772177,436.89437680524935,380.6292350737848,401.3054554130688,434.5872002935336,389.3286103005623,407.68932615811235,436.3421383021926,407.00267,445.09561999999994,473.50802999999996,468.48171200370155,478.749747891124,496.46881960634425,0,0,0,625.49462,609.94116,640.56322,Disagree
0000011,788.0,2.327,1.0,1.0,131.333,1.44,5.0,6.0,3.0,2.0,2.0,472.8868013614882,487.7184841198934,507.7381485812738,534.179588649102,522.0112660306372,561.3664071598937,499.26029437235303,504.0844084703006,539.1329322870913,497.2237534379492,497.6822843879436,526.8094320911622,497.2237534379492,497.6822843879436,526.8094320911622,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000012,1800.0,0.364,1.0,1.0,171.429,-0.43,20.0,5.0,3.0,2.0,1.0,605.0604983333333,623.9264475,654.9313016666665,628.0651399999999,623.8148199999999,648.5826199999999,0,0,0,600.2959950000001,623.225085,641.05277,601.0100266666666,632.0930733333332,648.55153,608.7786299999999,625.269256,656.536736,608.7786299999999,625.269256,656.536736,602.1438133333334,619.6835866666667,645.7851511111111,602.1438133333334,619.6835866666667,645.7851511111111,Strongly Agree
