SCHOOLID,W_FSTUWT,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,maths,read,scie,ave,SCHOOLID,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,schoolmath,schoolread,schoolscie,schoolave
1,11.2771,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,363.38216,353.39896,444.55426,387.1117933333333,0000001,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,487.22091368421053,496.3734515789473,530.1615610526317,504.5853087719299
2,8.8431,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,430.05922,429.18274,439.61208,432.9513466666667,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,510.5234200000001,524.6142199999999,547.8739400000001,527.6705266666667,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,290.70727999999997,286.19594,324.91612,300.6064466666666,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,447.4295,490.93252,469.17196,469.1779933333334,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,365.71896,338.48276,383.01007999999996,362.4039333333333,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,9.3066,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,427.95606,466.39300000000003,467.77322000000004,454.04076000000003,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,372.02835999999996,423.40872,399.8881,398.4417266666666,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,398.90167999999994,407.28964,385.24808,397.14646666666664,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,9.3066,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,537.4747,545.70538,570.5333800000001,551.23782,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
